stat_date,證券代號,證券名稱,年度,季度,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,權益總計,每股參考淨值
2024-07-01,1409,新纖,2024,3,145905758.0,69810599.0,215716357,136115383.0,30236322,166351705,16184093,2046829,14465270,49364652,23.71
2024-07-01,1718,中纖,2024,3,720407583.0,240218323.0,960625906,848254480.0,27982869,876237349,16859057,1712237,2881225,84388557,16.33
2024-07-01,2207,和泰車,2024,3,368495010.0,138624754.0,507119764,358526048.0,41159535,399685583,5571028,2870244,58625170,107434181,129.55
2024-07-01,2905,三商,2024,3,143997881.0,1491727710.0,1635725591,38239331.0,1544783173,1583022504,11224957,4208572,5031889,52703087,16.95
2024-07-01,2855,統一證,2024,3,185974623.0,10007419.0,195982042,161292502.0,218896,161511398,14558313,91261,17653321,34470644,23.61
2024-07-01,6005,群益證,2024,3,283767180.0,24940671.0,308707851,257701255.0,5399947,263101202,21709081,2743257,14240556,45606649,19.52
2024-07-01,6024,群益期,2024,3,61617996.0,974864.0,62592860,55056709.0,76978,55133687,2104376,1663253,3651189,7459173,35.43
2024-07-01,1240,茂生農經,2024,3,1694256.0,935680.0,2629936,664956.0,66389.0,731345,413387,145207.0,663134,1898591,44.76
2024-07-01,1259,安心,2024,3,1319864.0,5094203.0,6414067,2003041.0,1961218.0,3964259,323895,809816.0,951436,2449808,75.21
2024-07-01,1264,德麥,2024,3,3023003.0,2306097.0,5329100,1207201.0,73812.0,1281013,370644,673837.0,2218568,4048087,88.34
2024-07-01,1268,漢來美食,2024,3,2378278.0,4622992.0,7001270,2089386.0,2707793.0,4797179,422237,1123334.0,559855,2204091,52.2
2024-07-01,1294,漢田生技,2024,3,605793.0,579669.0,1185462,161262.0,234159.0,395421,276008,296202.0,214730,790041,28.51
2024-07-01,1336,台翰,2024,3,1176924.0,1692440.0,2869364,660476.0,296620.0,957096,782864,670151.0,532120,1912268,24.43
