stat_date,證券代號,證券名稱,年度,季度,營業現金流,投資現金流,籌資現金流,匯率變動之影響,淨現金流
2024-07-01,2816,旺旺保,2024,3,,,,,
2024-07-01,2832,台產,2024,3,,,,,
2024-07-01,2850,新產,2024,3,,,,,
2024-07-01,2851,中再保,2024,3,,,,,
2024-07-01,2852,第一保,2024,3,,,,,
2024-07-01,2867,三商壽,2024,3,,,,,
2024-07-01,2801,彰銀,2024,3,8794664.0,-747314.0,-8016331.0,1509599.0,1540618.0
2024-07-01,2809,京城銀,2024,3,-1208017.0,364658.0,-296964.0,18222.0,-1122101.0
2024-07-01,2812,台中銀,2024,3,10252822.0,-18098051.0,-2336269.0,44562.0,-10136936.0
2024-07-01,2820,華票,2024,3,,,,,
2024-07-01,2834,臺企銀,2024,3,-13400312.0,11555558.0,-3458785.0,480.0,-5303059.0
2024-07-01,2836,高雄銀,2024,3,,,,,
2024-07-01,2838,聯邦銀,2024,3,-6953956.0,-1701624.0,-192446.0,462945.0,-8385081.0
2024-07-01,2845,遠東銀,2024,3,18811127.0,-513591.0,-8333327.0,267630.0,10231839.0
2024-07-01,2849,安泰銀,2024,3,,,,,
2024-07-01,2897,王道銀行,2024,3,-13507318.0,-364965.0,8573232.0,90293.0,-5208758.0
2024-07-01,5876,上海商銀,2024,3,66853562.0,-1312948.0,-31469192.0,12218004.0,46289426.0
2024-07-01,1240,茂生農經,2024,3,90641.0,13276.0,-119854.0,,-15937.0
2024-07-01,1259,安心,2024,3,598389.0,-646073.0,40908.0,-215.0,-6991.0
2024-07-01,1264,德麥,2024,3,518914.0,-344421.0,-191388.0,25141.0,8246.0
2024-07-01,1268,漢來美食,2024,3,632177.0,-236960.0,41330.0,,436547.0
2024-07-01,1294,漢田生技,2024,3,68580.0,-21589.0,189653.0,15.0,236659.0
2024-07-01,1336,台翰,2024,3,128130.0,-520421.0,12356.0,53332.0,-326603.0
2024-07-01,1565,精華,2024,3,494032.0,-128179.0,-464853.0,448.0,-98552.0
2024-07-01,1569,濱川,2024,3,339817.0,-343800.0,-172095.0,11384.0,-164694.0
2024-07-01,1570,力肯,2024,3,80050.0,24140.0,-54261.0,246.0,50175.0
2024-07-01,1580,新麥,2024,3,394178.0,34415.0,-494690.0,37533.0,-28564.0
2024-07-01,1584,精剛,2024,3,-145467.0,-1833189.0,1790175.0,,-188481.0
2024-07-01,1586,和勤,2024,3,116099.0,-38007.0,-156415.0,13060.0,-65263.0
2024-07-01,1591,駿吉-KY,2024,3,-26868.0,15746.0,53309.0,8407.0,50594.0
2024-07-01,1593,祺驊,2024,3,39616.0,-44917.0,-58052.0,6008.0,-57345.0
2024-07-01,1595,川寶,2024,3,-43506.0,-90075.0,371691.0,-2685.0,235425.0
2024-07-01,1599,宏佳騰,2024,3,41032.0,-116084.0,53738.0,267.0,-21047.0
2024-07-01,1742,台蠟,2024,3,354314.0,1634644.0,-1982612.0,14377.0,20723.0
2024-07-01,1777,生泰,2024,3,,,,,
2024-07-01,1781,合世,2024,3,-22027.0,-42128.0,141373.0,7249.0,84467.0
2024-07-01,1784,訊聯,2024,3,116872.0,-426670.0,430707.0,688.0,121597.0
2024-07-01,1785,光洋科,2024,3,196282.0,-1868350.0,1069875.0,130530.0,-471663.0
2024-07-01,1788,杏昌,2024,3,284840.0,-306059.0,-13108.0,4580.0,-29747.0
2024-07-01,1796,金穎生技,2024,3,-21320.0,-17068.0,54197.0,840.0,16649.0
2024-07-01,1799,易威,2024,3,-87527.0,-13403.0,164749.0,5181.0,69000.0
2024-07-01,1813,寶利徠,2024,3,41231.0,-67848.0,15033.0,-5903.0,-17487.0
2024-07-01,1815,富喬,2024,3,98047.0,-1024936.0,627306.0,43979.0,-255604.0
2024-07-01,2035,唐榮公司,2024,3,,,,,
2024-07-01,2061,風青,2024,3,-151126.0,4694.0,128425.0,13043.0,-4964.0
2024-07-01,2063,世鎧,2024,3,112502.0,-26372.0,-32446.0,1590.0,55274.0
2024-07-01,2064,晉椿,2024,3,-31784.0,126667.0,-140220.0,-5675.0,-51012.0
2024-07-01,2065,世豐,2024,3,239926.0,46137.0,-42102.0,-1142.0,242819.0
2024-07-01,2066,世德,2024,3,252588.0,-326915.0,112407.0,7520.0,45600.0
2024-07-01,2067,嘉鋼,2024,3,-53294.0,-55723.0,112288.0,9101.0,12372.0
2024-07-01,2070,精湛,2024,3,56266.0,-109962.0,-369946.0,1881.0,-421761.0
2024-07-01,2073,雄順,2024,3,,,,,
2024-07-01,2221,大甲,2024,3,80347.0,-11593.0,-53302.0,559.0,16011.0
2024-07-01,2230,泰茂,2024,3,151158.0,-92503.0,-7300.0,18639.0,69994.0
2024-07-01,2235,謚源,2024,3,,,,,
2024-07-01,2596,綠意,2024,3,-747538.0,24500.0,805760.0,,82722.0
2024-07-01,2640,大車隊,2024,3,524430.0,-203711.0,-359928.0,,-39209.0
2024-07-01,2641,正德,2024,3,510305.0,-2152006.0,1590940.0,23487.0,-27274.0
2024-07-01,2643,捷迅,2024,3,119910.0,-443578.0,-186582.0,22062.0,-488188.0
2024-07-01,2718,全心投控,2024,3,3677261.0,-3346.0,-814854.0,,2859061.0
2024-07-01,2719,燦星旅,2024,3,77503.0,-96153.0,-13190.0,,-31840.0
2024-07-01,2724,藝舍-KY,2024,3,40894.0,-4847.0,-33133.0,-567.0,2347.0
2024-07-01,2726,雅茗-KY,2024,3,123382.0,-136505.0,-17479.0,6819.0,-23783.0
2024-07-01,2729,瓦城,2024,3,612039.0,-635376.0,-105491.0,-2047.0,-130875.0
2024-07-01,2732,六角,2024,3,353740.0,-116248.0,-141488.0,12610.0,108614.0
2024-07-01,2734,易飛網,2024,3,-81438.0,-214541.0,152051.0,143.0,-143785.0
2024-07-01,2736,富野,2024,3,-94805.0,-260709.0,278797.0,45.0,-76672.0
2024-07-01,2740,天蔥,2024,3,-50815.0,-25166.0,-11608.0,,-87589.0
2024-07-01,2743,山富,2024,3,385835.0,-114776.0,-37775.0,,233284.0
2024-07-01,2745,五福,2024,3,353701.0,-494478.0,-129173.0,,-269950.0
2024-07-01,2751,王座,2024,3,216167.0,-48097.0,35630.0,640.0,204340.0
2024-07-01,2752,豆府,2024,3,383506.0,-109808.0,-457583.0,81.0,-183804.0
2024-07-01,2754,亞洲藏壽司,2024,3,666371.0,-320815.0,-203886.0,5502.0,147172.0
2024-07-01,2755,揚秦,2024,3,98354.0,66072.0,-17921.0,694.0,147199.0
2024-07-01,2756,聯發國際,2024,3,70595.0,-137068.0,118548.0,-46.0,52029.0
2024-07-01,2916,滿心,2024,3,,,,,
2024-07-01,2924,宏太-KY,2024,3,-31360.0,38668.0,347504.0,-89.0,354723.0
2024-07-01,2926,誠品生活,2024,3,686690.0,-774804.0,-650324.0,31079.0,-707359.0
2024-07-01,2937,集雅社,2024,3,15486.0,-89974.0,51821.0,,-22667.0
2024-07-01,2941,米斯特,2024,3,,,,,
2024-07-01,2947,振宇五金,2024,3,195439.0,-96783.0,-138528.0,,-39872.0
2024-07-01,2948,寶陞,2024,3,-43142.0,-20170.0,-154038.0,31625.0,-185725.0
2024-07-01,2949,欣新網,2024,3,-273401.0,32612.0,100486.0,,-140303.0
2024-07-01,3064,泰偉,2024,3,9914.0,5685.0,-8739.0,781.0,7641.0
2024-07-01,3066,李洲,2024,3,-52138.0,-110312.0,101943.0,5360.0,-55147.0
2024-07-01,3067,全域,2024,3,-26127.0,-35113.0,-1230.0,1507.0,-60963.0
2024-07-01,3071,協禧,2024,3,59473.0,-79848.0,-42323.0,92573.0,29875.0
2024-07-01,3073,天方能源,2024,3,-37867.0,-238541.0,189484.0,1007.0,-85917.0
2024-07-01,3078,僑威,2024,3,1275677.0,-26581.0,-1851032.0,65262.0,-536674.0
2024-07-01,3081,聯亞,2024,3,,,,,
2024-07-01,3083,網龍,2024,3,66947.0,16134.0,-8311.0,12793.0,87563.0
2024-07-01,3085,新零售,2024,3,-25808.0,23098.0,386177.0,,383467.0
2024-07-01,3086,華義,2024,3,47225.0,-10537.0,-4194.0,,32494.0
2024-07-01,3088,艾訊,2024,3,599721.0,-252738.0,-129149.0,52259.0,270093.0
2024-07-01,3093,港建*,2024,3,-67096.0,-91313.0,-263149.0,9589.0,-411969.0
2024-07-01,3095,及成,2024,3,2439.0,-11351.0,-52513.0,19239.0,-42186.0
2024-07-01,3105,穩懋,2024,3,4216414.0,-941479.0,-7989299.0,61823.0,-4652541.0
2024-07-01,3114,好德,2024,3,74802.0,10286.0,-117420.0,27566.0,-4766.0
2024-07-01,3115,富榮綱,2024,3,-71286.0,-742.0,-2732.0,9058.0,-65702.0
2024-07-01,3118,進階,2024,3,,,,,
2024-07-01,3122,笙泉,2024,3,12474.0,-88180.0,197837.0,514.0,122645.0
2024-07-01,3128,昇銳,2024,3,71671.0,-177203.0,85787.0,4573.0,-15172.0
2024-07-01,3131,弘塑,2024,3,775920.0,-873710.0,185369.0,3017.0,90596.0
2024-07-01,3141,晶宏,2024,3,184392.0,-18683.0,457153.0,4654.0,627516.0
2024-07-01,3147,大綜,2024,3,-158671.0,-149388.0,117837.0,-1274.0,-191496.0
2024-07-01,3152,璟德,2024,3,,,,,
2024-07-01,3162,精確,2024,3,-201874.0,-226213.0,464759.0,17640.0,54312.0
2024-07-01,3163,波若威,2024,3,-112857.0,380585.0,-309557.0,19345.0,-22484.0
2024-07-01,3169,亞信,2024,3,185419.0,-11772.0,-221142.0,4748.0,-42747.0
2024-07-01,3171,炎洲流通,2024,3,89938.0,491651.0,-136860.0,2203.0,446932.0
2024-07-01,3176,基亞,2024,3,-118826.0,945626.0,-1799726.0,3027.0,-969899.0
2024-07-01,3178,公準,2024,3,193262.0,-221454.0,16647.0,726.0,-10819.0
2024-07-01,3188,鑫龍騰,2024,3,-729496.0,1392.0,952080.0,,223976.0
2024-07-01,3191,雲嘉南,2024,3,-11388.0,23108.0,-11897.0,1420.0,1243.0
2024-07-01,3202,樺晟,2024,3,9287.0,53621.0,-62941.0,84383.0,84350.0
2024-07-01,3205,佰研,2024,3,-33944.0,11873.0,-8161.0,1808.0,-28424.0
2024-07-01,3206,志豐,2024,3,203291.0,-12033.0,-234733.0,58691.0,15216.0
2024-07-01,3207,耀勝,2024,3,-109936.0,-373635.0,547223.0,16147.0,79799.0
2024-07-01,3211,順達,2024,3,680748.0,2121881.0,-2200973.0,205054.0,806710.0
2024-07-01,3213,茂訊,2024,3,299710.0,266913.0,-350592.0,479.0,216510.0
2024-07-01,3217,優群,2024,3,578267.0,-72623.0,-581963.0,22896.0,-53423.0
2024-07-01,3218,大學光,2024,3,1186594.0,-1431799.0,-329099.0,15667.0,-558637.0
2024-07-01,3219,倚強科,2024,3,48570.0,-21477.0,-79647.0,26748.0,-25806.0
2024-07-01,3221,台嘉碩,2024,3,64560.0,-55916.0,-110025.0,13580.0,-87801.0
2024-07-01,3224,三顧,2024,3,-135687.0,-350672.0,6617.0,17847.0,-461895.0
2024-07-01,3226,龍鋒,2024,3,,,,,
2024-07-01,3227,原相,2024,3,1605350.0,-751468.0,-697038.0,66862.0,223706.0
2024-07-01,3228,金麗科,2024,3,,,,,
2024-07-01,3230,錦明,2024,3,5992.0,270245.0,183788.0,23759.0,483784.0
2024-07-01,3232,昱捷,2024,3,93316.0,-2376.0,-53058.0,1879.0,39761.0
2024-07-01,3234,光環,2024,3,-47187.0,-75364.0,297745.0,2254.0,177448.0
2024-07-01,3236,千如,2024,3,89735.0,-99627.0,-65439.0,2896.0,-72435.0
2024-07-01,3252,海灣,2024,3,40124.0,-22215.0,-22700.0,,-4791.0
2024-07-01,3259,鑫創,2024,3,-57374.0,-11685.0,24365.0,,-44694.0
2024-07-01,3260,威剛,2024,3,-1436948.0,-2721977.0,3360343.0,-94885.0,-893467.0
2024-07-01,3264,欣銓,2024,3,4342748.0,-3391814.0,-1334193.0,24762.0,-358497.0
2024-07-01,3265,台星科,2024,3,831526.0,964422.0,-955612.0,-6279.0,834057.0
2024-07-01,3268,海德威,2024,3,-28521.0,-145770.0,105560.0,1411.0,-67320.0
2024-07-01,3272,東碩,2024,3,68952.0,-224215.0,-84078.0,72751.0,-166590.0
2024-07-01,3276,宇環,2024,3,41768.0,25070.0,-65767.0,,1071.0
2024-07-01,3284,太普高,2024,3,157762.0,-474369.0,337475.0,7508.0,28376.0
2024-07-01,3285,微端,2024,3,35657.0,71850.0,-53239.0,3713.0,57981.0
2024-07-01,3287,廣寰科,2024,3,-49722.0,133090.0,-24991.0,-2330.0,56047.0
2024-07-01,3288,點晶,2024,3,-10382.0,-275.0,6773.0,-292.0,-4176.0
2024-07-01,3289,宜特,2024,3,806717.0,-709360.0,-234732.0,7329.0,-130046.0
2024-07-01,3290,東浦,2024,3,165239.0,-404673.0,-136796.0,71983.0,-304247.0
2024-07-01,3293,鈊象,2024,3,5995437.0,-1223856.0,-4933633.0,2977.0,-159075.0
2024-07-01,3294,英濟,2024,3,35610.0,-337030.0,-257478.0,78033.0,-480865.0
2024-07-01,3297,杭特,2024,3,-11898.0,-21307.0,18000.0,1062.0,-14143.0
2024-07-01,3303,岱稜,2024,3,308136.0,-65979.0,-196768.0,17863.0,63252.0
2024-07-01,3306,鼎天,2024,3,-25307.0,16376.0,-73235.0,0.0,-82166.0
2024-07-01,3310,佳穎,2024,3,18329.0,-122149.0,153428.0,13654.0,63262.0
2024-07-01,3313,斐成,2024,3,-1445446.0,745142.0,566000.0,,-134304.0
2024-07-01,3317,尼克森,2024,3,16046.0,186073.0,-30662.0,578.0,172035.0
2024-07-01,3322,建舜電,2024,3,-18367.0,-217900.0,243346.0,-15470.0,-8391.0
2024-07-01,3323,加百裕,2024,3,296982.0,-328590.0,-58724.0,4803.0,-85529.0
2024-07-01,3324,雙鴻,2024,3,967477.0,-1075171.0,1105278.0,2911.0,1000495.0
2024-07-01,3325,旭品,2024,3,-63972.0,-53409.0,27254.0,24795.0,-65332.0
