stat_date,證券代號,證券名稱,年度,季度,營業收入,營業成本,營業毛利,營業費用,營業利益,業外收支,稅前淨利,所得稅,稅後淨利,EPS
2024-07-01,2816,旺旺保,2024,3,8116878,5399755,2717123,1729784.0,987339.0,19324.0,1006663,160470,846193,3.78
2024-07-01,2832,台產,2024,3,5607813,3313595,2294218,1138725.0,1155493.0,-3114.0,1152379,164566,987813,2.73
2024-07-01,2850,新產,2024,3,15641859,9746793,5895066,2891862.0,3003204.0,4987.0,3008191,505945,2502246,7.92
2024-07-01,2851,中再保,2024,3,17328073,14464865,2863208,405385.0,2457823.0,143.0,2457966,355733,2102233,2.63
2024-07-01,2852,第一保,2024,3,5872117,3768952,2103165,1180566.0,922599.0,-15.0,922584,144325,778259,2.58
2024-07-01,2867,三商壽,2024,3,103934793,100100412,3834381,3487616.0,346765.0,76041.0,422806,-2263791,2686597,0.52
2024-07-01,2801,彰銀,2024,3,32071318,2947215,29124103,15126617.0,13997486.0,0.0,13997486,2748528,11248958,1.0
2024-07-01,2809,京城銀,2024,3,7199418,242145,6957273,1884539.0,5072734.0,0.0,5072734,1205678,3867056,3.48
2024-07-01,2812,台中銀,2024,3,14471560,862667,13608893,6094976.0,7513917.0,0.0,7513917,1166521,6347396,1.15
2024-07-01,2820,華票,2024,3,1745080,23042,1722038,435599.0,1286439.0,0.0,1286439,197389,1089050,0.81
2024-07-01,2834,臺企銀,2024,3,26501788,3198550,23303238,12313677.0,10989561.0,0.0,10989561,2122703,8866858,0.97
2024-07-01,2836,高雄銀,2024,3,3287502,104870,3182632,2216059.0,966573.0,0.0,966573,255612,710961,0.41
2024-07-01,2838,聯邦銀,2024,3,15382113,722239,14659874,9658563.0,5001311.0,0.0,5001311,689811,4311500,0.94
2024-07-01,2845,遠東銀,2024,3,9913461,45615,9867846,5883050.0,3984796.0,0.0,3984796,453696,3531100,0.83
2024-07-01,2849,安泰銀,2024,3,4212463,458352,3754111,2549909.0,1204202.0,0.0,1204202,94708,1109494,0.57
2024-07-01,2897,王道銀行,2024,3,8198614,521723,7676891,3849545.0,3827346.0,0.0,3827346,749636,3077710,0.79
2024-07-01,5876,上海商銀,2024,3,39062582,10195520,28867062,14796075.0,14070987.0,0.0,14070987,2687507,11383480,2.18
2024-07-01,1240,茂生農經,2024,3,2132889,1888849.0,298142,183377.0,114765.0,30132.0,144897,30581.0,114316,3.07
2024-07-01,1259,安心,2024,3,4571195,3528302.0,1042893,1023320.0,19573.0,52108.0,71681,9454.0,62227,2.22
2024-07-01,1264,德麥,2024,3,4924106,3336429.0,1587677,744946.0,842731.0,21690.0,864421,192958.0,671463,15.67
2024-07-01,1268,漢來美食,2024,3,4426194,2408706.0,2017488,1608459.0,409029.0,-4117.0,404912,77776.0,327136,7.75
2024-07-01,1294,漢田生技,2024,3,595387,350186.0,245201,84424.0,160777.0,-3141.0,157636,32984.0,124652,4.94
2024-07-01,1336,台翰,2024,3,1862369,1528231.0,334138,180186.0,153952.0,31707.0,185659,67048.0,118611,1.53
2024-07-01,1565,精華,2024,3,3320177,2450955.0,869222,305974.0,563248.0,96222.0,659470,138627.0,520843,10.33
2024-07-01,1569,濱川,2024,3,2239589,2130121.0,109468,389097.0,-279629.0,101728.0,-177901,805.0,-178706,-1.6
2024-07-01,1570,力肯,2024,3,577212,412074.0,165138,65001.0,100137.0,11127.0,111264,21357.0,89907,1.75
2024-07-01,1580,新麥,2024,3,3414012,1923866.0,1490146,814756.0,675390.0,94424.0,769814,232105.0,537709,10.06
2024-07-01,1584,精剛,2024,3,2240026,1814913.0,425113,151383.0,273730.0,116600.0,390330,55991.0,334339,1.75
2024-07-01,1586,和勤,2024,3,1916892,1608090.0,308802,263695.0,45107.0,-4377.0,40730,6259.0,34471,0.42
2024-07-01,1591,駿吉-KY,2024,3,162749,167230.0,-4481,47878.0,-52359.0,-5859.0,-58218,-6640.0,-51578,-1.43
2024-07-01,1593,祺驊,2024,3,795948,540989.0,254959,196649.0,58310.0,26844.0,85154,24256.0,60898,1.01
2024-07-01,1595,川寶,2024,3,677161,499718.0,177443,220750.0,-43307.0,50139.0,6832,15450.0,-8618,-0.11
