stat_date,證券代號,證券名稱,年度,月份,營收,備註
2024-07-01,1101,台泥,2024,7,14429687,2024/3/6起併入OYAK及Cimpor，以致本月營收較去年同期增加54.7億元。
2024-07-01,1102,亞泥,2024,7,6722518,
2024-07-01,1103,嘉泥,2024,7,258383,
2024-07-01,1104,環泥,2024,7,621001,
2024-07-01,1108,幸福,2024,7,344972,
2024-07-01,1109,信大,2024,7,382035,
2024-07-01,1110,東泥,2024,7,274186,主要係因子公司東泥建設(股)公司認列收入所致。
2024-07-01,1201,味全,2024,7,2154021,
2024-07-01,1203,味王,2024,7,475908,
2024-07-01,1210,大成,2024,7,8506106,
2024-07-01,1213,大飲,2024,7,19561,積極推展業務，致使7月營收成長。
2024-07-01,1215,卜蜂,2024,7,2322796,
2024-07-01,1216,統一,2024,7,59449406,
2024-07-01,1217,愛之味,2024,7,517832,
2024-07-01,1218,泰山,2024,7,977678,
2024-07-01,1219,福壽,2024,7,1196279,
2024-07-01,1220,台榮,2024,7,267181,
2024-07-01,1225,福懋油,2024,7,1064684,
2024-07-01,1227,佳格,2024,7,2139161,
2024-07-01,1229,聯華,2024,7,949035,
2024-07-01,1231,聯華食,2024,7,1115087,
2024-07-01,1232,大統益,2024,7,1859450,
2024-07-01,1233,天仁,2024,7,171241,
2024-07-01,1234,黑松,2024,7,993979,
2024-07-01,1235,興泰,2024,7,6081,增加子公司泰宇網通1-7月營收3142萬
2024-07-01,1236,宏亞,2024,7,162934,
2024-07-01,1702,南僑,2024,7,1868017,
2024-07-01,1737,臺鹽,2024,7,255573,
2024-07-01,3054,立萬利,2024,7,5155,主係因本期產品結構改變致銷售金額增加
2024-07-01,1301,台塑,2024,7,17709919,
2024-07-01,1303,南亞,2024,7,22531108,
2024-07-01,1304,台聚,2024,7,4531832,
2024-07-01,1305,華夏,2024,7,997410,
2024-07-01,1307,三芳,2024,7,1085215,
2024-07-01,1308,亞聚,2024,7,570164,
2024-07-01,1309,台達化,2024,7,1620940,
2024-07-01,1310,台苯,2024,7,1033684,與去年同期相比，本月SM價格增加18.66%、銷量增加22%及匯率平均上升4.5%，以致7月營收較去年同期增加。
2024-07-01,1312,國喬,2024,7,1605255,
2024-07-01,1313,聯成,2024,7,6062896,
2024-07-01,1314,中石化,2024,7,2430478,
2024-07-01,1315,達新,2024,7,157127,
2024-07-01,1321,大洋,2024,7,338679,
2024-07-01,1323,永裕,2024,7,184175,營收更正減少主要係7月份精奕公司董事會暨營運團隊重組下，其已非本公司合併財務報告之子公司。
2024-07-01,1324,地球,2024,7,61973,
2024-07-01,1325,恆大,2024,7,24924,
2024-07-01,1326,台化,2024,7,30018602,
2024-07-01,4306,炎洲,2024,7,1583736,主係認列建案完工交屋營收所致
2024-07-01,1402,遠東新,2024,7,21849337,
2024-07-01,1409,新纖,2024,7,3964766,
2024-07-01,1410,南染,2024,7,22416,
2024-07-01,1413,宏洲,2024,7,207960,因去年基期低
2024-07-01,1414,東和,2024,7,45179,
2024-07-01,1417,嘉裕,2024,7,24737,因結束國軍服裝供售業務，致使營收減少
2024-07-01,1418,東華,2024,7,87,因配合客戶生產線出貨及去年同期銷庫存。
2024-07-01,1419,新紡,2024,7,263356,
2024-07-01,1423,利華,2024,7,14437,
2024-07-01,1434,福懋,2024,7,2284442,
2024-07-01,1440,南紡,2024,7,1656569,
2024-07-01,1441,大東,2024,7,201063,"因奧運年需求增加, 本期出貨較多"
2024-07-01,1444,力麗,2024,7,633467,
2024-07-01,1445,大宇,2024,7,98569,
2024-07-01,1446,宏和,2024,7,584157,營建銷售增加營收
2024-07-01,1447,力鵬,2024,7,2380505,
2024-07-01,1449,佳和,2024,7,204837,
2024-07-01,1451,年興,2024,7,660632,
2024-07-01,1452,宏益,2024,7,157403,因上期市場需求疲弱，致本期營業收入淨額較去年同期增加。
2024-07-01,1454,台富,2024,7,128876,
2024-07-01,1455,集盛,2024,7,823986,
2024-07-01,1457,宜進,2024,7,283771,
2024-07-01,1459,聯發,2024,7,88152,
2024-07-01,1460,宏遠,2024,7,647279,
2024-07-01,1463,強盛新,2024,7,25160,
2024-07-01,1464,得力,2024,7,924774,主係因景氣回升，訂單較去年同期多。
2024-07-01,1465,偉全,2024,7,61582,
2024-07-01,1466,聚隆,2024,7,252799,
2024-07-01,1467,南緯,2024,7,471406,
2024-07-01,1468,昶和,2024,7,81353,
2024-07-01,1470,大統新創,2024,7,57859,
2024-07-01,1473,台南,2024,7,677950,
2024-07-01,1474,弘裕,2024,7,226583,
2024-07-01,1475,業旺,2024,7,175414,本月營收較去年同期增加，主要係因客戶需求較去年同期增加，以及近期台幣貶值等雙重影響所致。
2024-07-01,1476,儒鴻,2024,7,3134777,
2024-07-01,1477,聚陽,2024,7,3063423,
2024-07-01,4414,如興,2024,7,1671464,
2024-07-01,4426,利勤,2024,7,75303,
2024-07-01,4438,廣越,2024,7,2222339,
2024-07-01,4440,宜新實業,2024,7,115958,
2024-07-01,1503,士電,2024,7,2597572,
2024-07-01,1504,東元,2024,7,4681158,
2024-07-01,1506,正道,2024,7,77806,
2024-07-01,1513,中興電,2024,7,2085481,
2024-07-01,1514,亞力,2024,7,644057,
2024-07-01,1515,力山,2024,7,458369,客戶銷售狀況好增加採購量
2024-07-01,1517,利奇,2024,7,214602,
2024-07-01,1519,華城,2024,7,2003638,本年累計金額較同期增加，主要為外銷及民營案訂單成長。
2024-07-01,1526,日馳,2024,7,57713,
2024-07-01,1527,鑽全,2024,7,309026,客戶需求增加
2024-07-01,1528,恩德,2024,7,302645,
2024-07-01,1529,樂事綠能,2024,7,28748,"本月無亭置式變壓器銷貨,致較去年同期減幅大"
2024-07-01,1530,亞崴,2024,7,240467,
2024-07-01,1531,高林股,2024,7,152511,
2024-07-01,1532,勤美,2024,7,1157729,兩期變動達50%以上，主係本月認列完工交屋營建收入較去年同期減少所致
2024-07-01,1535,中宇,2024,7,859452,
2024-07-01,1537,廣隆,2024,7,725054,
2024-07-01,1538,正峰,2024,7,10507,減少低毛利接單，部份客戶訂單減少
2024-07-01,1539,巨庭,2024,7,113171,
2024-07-01,1540,喬福,2024,7,27578,大陸市場衰退
2024-07-01,1541,錩泰,2024,7,234598,
2024-07-01,1558,伸興,2024,7,810073,
2024-07-01,1560,中砂,2024,7,635210,
2024-07-01,1583,程泰,2024,7,370526,
2024-07-01,1597,直得,2024,7,84938,
2024-07-01,2049,上銀,2024,7,2121103,
2024-07-01,2371,大同,2024,7,4173193,
2024-07-01,3167,大量,2024,7,218592,主係因客戶需求量增加所致
2024-07-01,4526,東台,2024,7,435336,
2024-07-01,4532,瑞智,2024,7,1834834,
2024-07-01,4540,全球傳動,2024,7,151009,
2024-07-01,4555,氣立,2024,7,130128,
2024-07-01,4562,穎漢,2024,7,79105,
2024-07-01,4564,元翎,2024,7,120014,
2024-07-01,4566,時碩工業,2024,7,432954,
2024-07-01,4572,駐龍,2024,7,73312,
2024-07-01,4576,大銀微系統,2024,7,173009,
2024-07-01,4583,台灣精銳,2024,7,269326,
2024-07-01,6606,建德工業,2024,7,62933,
2024-07-01,8222,寶一,2024,7,63266,
2024-07-01,8374,羅昇,2024,7,248127,
2024-07-01,8996,高力,2024,7,368883,
2024-07-01,1603,華電,2024,7,546321,"本公司產品為訂單式生產。營收增加主要係超耐熱鋼心鋁線150,702仟元、瑞昱案工程25,611仟元。"
2024-07-01,1604,聲寶,2024,7,831972,
2024-07-01,1605,華新,2024,7,15032496,
2024-07-01,1608,華榮,2024,7,983730,
2024-07-01,1609,大亞,2024,7,2688399,
2024-07-01,1611,中電,2024,7,86707,
2024-07-01,1612,宏泰,2024,7,557638,
2024-07-01,1614,三洋電,2024,7,663720,
2024-07-01,1615,大山,2024,7,538131,
2024-07-01,1616,億泰,2024,7,354641,
2024-07-01,1617,榮星,2024,7,312481,
2024-07-01,1618,合機,2024,7,580373,"113年7月業主通知交貨較多,致超高壓線及其相關附屬器材出貨量較去年同期增加。"
2024-07-01,4930,燦星網,2024,7,785484,
2024-07-01,5283,禾聯碩,2024,7,839579,
2024-07-01,1708,東鹼,2024,7,508507,
2024-07-01,1709,和益,2024,7,660172,
2024-07-01,1710,東聯,2024,7,2350627,無
2024-07-01,1711,永光,2024,7,693877,
2024-07-01,1712,興農,2024,7,1477212,
2024-07-01,1713,國化,2024,7,37503,
2024-07-01,1714,和桐,2024,7,1550261,
2024-07-01,1717,長興,2024,7,3756430,
2024-07-01,1718,中纖,2024,7,4136869,本月份自結異業別合併營收資訊，未經會計師簽證或核閱。
2024-07-01,1721,三晃,2024,7,230662,主要為特用化學品及植物保護用藥去年同月的營收基期相對較低，因而本月營業收入淨額相較成長54.83%。
2024-07-01,1722,台肥,2024,7,933103,
2024-07-01,1723,中碳,2024,7,711610,
2024-07-01,1725,元禎,2024,7,788899,
2024-07-01,1726,永記,2024,7,812915,
2024-07-01,1727,中華化,2024,7,170343,
2024-07-01,1730,花仙子,2024,7,211860,
2024-07-01,1732,毛寶,2024,7,47182,
2024-07-01,1735,日勝化,2024,7,235449,
2024-07-01,1773,勝一,2024,7,862374,
2024-07-01,1776,展宇,2024,7,119443,
2024-07-01,4720,德淵,2024,7,326203,
2024-07-01,4722,國精化,2024,7,343264,
2024-07-01,4739,康普,2024,7,370954,
2024-07-01,4755,三福化,2024,7,429085,
2024-07-01,4764,雙鍵,2024,7,239816,
2024-07-01,4766,南寶,2024,7,2090507,
2024-07-01,4770,上品,2024,7,614281,較去年同期增加，主係本期對銷貨客戶之設備出貨增加所致
2024-07-01,1707,葡萄王,2024,7,828098,
2024-07-01,1720,生達,2024,7,573665,
2024-07-01,1731,美吾華,2024,7,118477,本月森歐黎漾Saholea及美髮品牌出貨持續暢旺，當月營收較去年同期大幅成長22%。
2024-07-01,1733,五鼎,2024,7,139800,
2024-07-01,1734,杏輝,2024,7,261180,
2024-07-01,1752,南光,2024,7,205844,
2024-07-01,1760,寶齡富錦,2024,7,152239,
2024-07-01,1762,中化生,2024,7,68710,
2024-07-01,1783,和康生,2024,7,55955,
2024-07-01,1786,科妍,2024,7,76012,
2024-07-01,1789,神隆,2024,7,246387,
2024-07-01,1795,美時,2024,7,2722045,
2024-07-01,3164,景岳,2024,7,29317,
2024-07-01,3705,永信,2024,7,740180,
2024-07-01,4104,佳醫,2024,7,648950,
2024-07-01,4106,雃博,2024,7,193076,
2024-07-01,4108,懷特,2024,7,13658,懷特血寶營收持續增加，本月營收較去年同期成長14%
2024-07-01,4119,旭富,2024,7,136512,去年同期中間體PGA因受原料品質影響無法出貨，今年已恢復正常出貨。
2024-07-01,4133,亞諾法,2024,7,29883,
2024-07-01,4142,國光生,2024,7,361114,營收較去年同期增加主因為配合國外客戶出貨所致
2024-07-01,4155,訊映,2024,7,145098,113年07月營收較112年07月增加，係因北非客戶銷售成長所致。
2024-07-01,4164,承業醫,2024,7,222614,
2024-07-01,4736,泰博,2024,7,414263,
2024-07-01,4737,華廣,2024,7,159235,
2024-07-01,4746,台耀,2024,7,327566,
2024-07-01,4771,望隼,2024,7,233118,
2024-07-01,6446,藥華藥,2024,7,879603,本月及本年累計營收較去年成長，主要來自認列子公司PharmaEssentia USA Corp.之營收。
2024-07-01,6472,保瑞,2024,7,1720805,113.04起合併子公司Upsher-Smith Laboratories營收
2024-07-01,6491,晶碩,2024,7,513014,
2024-07-01,6534,正瀚-創,2024,7,47863,
2024-07-01,6645,金萬林-創,2024,7,36091,
