證券代號,證券名稱,類型,上市櫃,產業,股票
006201,元大富櫃50,ETF,上櫃,,元大富櫃50(006201)
00679B,元大美債20年,ETF,上櫃,,元大美債20年(00679B)
00687B,國泰20年美債,ETF,上櫃,,國泰20年美債(00687B)
00694B,富邦美債1-3年,ETF,上櫃,,富邦美債1-3年(00694B)
00695B,富邦美債7-10年,ETF,上櫃,,富邦美債7-10年(00695B)
00696B,富邦美債20年,ETF,上櫃,,富邦美債20年(00696B)
00697B,元大美債7-10,ETF,上櫃,,元大美債7-10(00697B)
00718B,富邦中國政策債,ETF,上櫃,,富邦中國政策債(00718B)
00719B,元大美債1-3,ETF,上櫃,,元大美債1-3(00719B)
00720B,元大投資級公司債,ETF,上櫃,,元大投資級公司債(00720B)
00722B,群益投資級電信債,ETF,上櫃,,群益投資級電信債(00722B)
00723B,群益投資級科技債,ETF,上櫃,,群益投資級科技債(00723B)
00724B,群益投資級金融債,ETF,上櫃,,群益投資級金融債(00724B)
00725B,國泰投資級公司債,ETF,上櫃,,國泰投資級公司債(00725B)
00726B,國泰新興投等債,ETF,上櫃,,國泰新興投等債(00726B)
00727B,國泰優選非投等債,ETF,上櫃,,國泰優選非投等債(00727B)
00734B,台新JPM新興債,ETF,上櫃,,台新JPM新興債(00734B)
00740B,富邦全球投等債,ETF,上櫃,,富邦全球投等債(00740B)
00741B,富邦全球非投等債,ETF,上櫃,,富邦全球非投等債(00741B)
00746B,富邦A級公司債,ETF,上櫃,,富邦A級公司債(00746B)
00749B,凱基新興債10+,ETF,上櫃,,凱基新興債10+(00749B)
00750B,凱基科技債10+,ETF,上櫃,,凱基科技債10+(00750B)
00751B,元大AAA至A公司債,ETF,上櫃,,元大AAA至A公司債(00751B)
00754B,群益AAA-AA公司債,ETF,上櫃,,群益AAA-AA公司債(00754B)
00755B,群益投資級公用債,ETF,上櫃,,群益投資級公用債(00755B)
00756B,群益投等新興公債,ETF,上櫃,,群益投等新興公債(00756B)
00758B,復華能源債,ETF,上櫃,,復華能源債(00758B)
00759B,復華製藥債,ETF,上櫃,,復華製藥債(00759B)
00760B,復華新興企業債,ETF,上櫃,,復華新興企業債(00760B)
00761B,國泰A級公司債,ETF,上櫃,,國泰A級公司債(00761B)
00764B,群益25年美債,ETF,上櫃,,群益25年美債(00764B)
00768B,復華20年美債,ETF,上櫃,,復華20年美債(00768B)
00772B,中信高評級公司債,ETF,上櫃,,中信高評級公司債(00772B)
00773B,中信優先金融債,ETF,上櫃,,中信優先金融債(00773B)
00777B,凱基AAA至A公司債,ETF,上櫃,,凱基AAA至A公司債(00777B)
00778B,凱基金融債20+,ETF,上櫃,,凱基金融債20+(00778B)
00779B,凱基美債25+,ETF,上櫃,,凱基美債25+(00779B)
00780B,國泰A級金融債,ETF,上櫃,,國泰A級金融債(00780B)
00781B,國泰A級科技債,ETF,上櫃,,國泰A級科技債(00781B)
00782B,國泰A級公用債,ETF,上櫃,,國泰A級公用債(00782B)
00784B,富邦中國投等債,ETF,上櫃,,富邦中國投等債(00784B)
00785B,富邦金融投等債,ETF,上櫃,,富邦金融投等債(00785B)
00786B,元大10年IG銀行債,ETF,上櫃,,元大10年IG銀行債(00786B)
00787B,元大10年IG醫療債,ETF,上櫃,,元大10年IG醫療債(00787B)
00788B,元大10年IG電能債,ETF,上櫃,,元大10年IG電能債(00788B)
00789B,復華公司債A3,ETF,上櫃,,復華公司債A3(00789B)
00790B,復華次順位金融債,ETF,上櫃,,復華次順位金融債(00790B)
00791B,復華信用債1-5,ETF,上櫃,,復華信用債1-5(00791B)
00792B,群益A級公司債,ETF,上櫃,,群益A級公司債(00792B)
00793B,群益AAA-A醫療債,ETF,上櫃,,群益AAA-A醫療債(00793B)
00794B,群益7+中國政金債,ETF,上櫃,,群益7+中國政金債(00794B)
00795B,中信美國公債20年,ETF,上櫃,,中信美國公債20年(00795B)
00799B,國泰A級醫療債,ETF,上櫃,,國泰A級醫療債(00799B)
00834B,第一金金融債10+,ETF,上櫃,,第一金金融債10+(00834B)
00836B,永豐10年A公司債,ETF,上櫃,,永豐10年A公司債(00836B)
00838B,永豐7-10年中國債,ETF,上櫃,,永豐7-10年中國債(00838B)
00840B,凱基IG精選15+,ETF,上櫃,,凱基IG精選15+(00840B)
00841B,凱基AAA-AA公司債,ETF,上櫃,,凱基AAA-AA公司債(00841B)
00842B,台新美元銀行債,ETF,上櫃,,台新美元銀行債(00842B)
00844B,新光15年IG金融債,ETF,上櫃,,新光15年IG金融債(00844B)
00845B,富邦新興投等債,ETF,上櫃,,富邦新興投等債(00845B)
00846B,富邦歐洲銀行債,ETF,上櫃,,富邦歐洲銀行債(00846B)
00847B,中信美國市政債,ETF,上櫃,,中信美國市政債(00847B)
00848B,中信新興亞洲債,ETF,上櫃,,中信新興亞洲債(00848B)
00849B,中信EM主權債0-5,ETF,上櫃,,中信EM主權債0-5(00849B)
00853B,統一美債10年Aa-A,ETF,上櫃,,統一美債10年Aa-A(00853B)
00856B,永豐1-3年美公債,ETF,上櫃,,永豐1-3年美公債(00856B)
00857B,永豐20年美公債,ETF,上櫃,,永豐20年美公債(00857B)
00858,永豐美國500大,ETF,上櫃,,永豐美國500大(00858)
00859B,群益0-1年美債,ETF,上櫃,,群益0-1年美債(00859B)
00860B,群益1-5Y投資級債,ETF,上櫃,,群益1-5Y投資級債(00860B)
00862B,中信投資級公司債,ETF,上櫃,,中信投資級公司債(00862B)
00863B,中信全球電信債,ETF,上櫃,,中信全球電信債(00863B)
00864B,中信美國公債0-1,ETF,上櫃,,中信美國公債0-1(00864B)
00867B,新光A-BBB電信債,ETF,上櫃,,新光A-BBB電信債(00867B)
00870B,元大15年EM主權債,ETF,上櫃,,元大15年EM主權債(00870B)
00877,復華中國5G,ETF,上櫃,,復華中國5G(00877)
00883B,中信ESG投資級債,ETF,上櫃,,中信ESG投資級債(00883B)
00884B,中信低碳新興債,ETF,上櫃,,中信低碳新興債(00884B)
00886,永豐美國科技,ETF,上櫃,,永豐美國科技(00886)
00887,永豐中國科技50大,ETF,上櫃,,永豐中國科技50大(00887)
00888,永豐台灣ESG,ETF,上櫃,,永豐台灣ESG(00888)
00890B,凱基ESG BBB 債 15+,ETF,上櫃,,凱基ESG BBB 債 15+(00890B)
00928,中信上櫃ESG 30,ETF,上櫃,,中信上櫃ESG 30(00928)
00931B,統一美債20年,ETF,上櫃,,統一美債20年(00931B)
00933B,國泰10Y+金融債,ETF,上櫃,,國泰10Y+金融債(00933B)
00937B,群益ESG投等債20+,ETF,上櫃,,群益ESG投等債20+(00937B)
00942B,台新美A公司債20+,ETF,上櫃,,台新美A公司債20+(00942B)
00948B,中信優息投資級債,ETF,上櫃,,中信優息投資級債(00948B)
00950B,凱基A級公司債,ETF,上櫃,,凱基A級公司債(00950B)
00955,中信日本商社,ETF,上櫃,,中信日本商社(00955)
00957B,兆豐US優選投等債,ETF,上櫃,,兆豐US優選投等債(00957B)
00958B,永豐ESG銀行債15+,ETF,上櫃,,永豐ESG銀行債15+(00958B)
00959B,大華投等美債15Y+,ETF,上櫃,,大華投等美債15Y+(00959B)
1240,茂生農經,股票,上櫃,農業科技業,茂生農經(1240)
1259,安心,股票,上櫃,觀光餐旅,安心(1259)
1264,德麥,股票,上櫃,食品工業,德麥(1264)
1268,漢來美食,股票,上櫃,觀光餐旅,漢來美食(1268)
1294,漢田生技,股票,上櫃,食品工業,漢田生技(1294)
1336,台翰,股票,上櫃,電子零組件業,台翰(1336)
1565,精華,股票,上櫃,生技醫療業,精華(1565)
1569,濱川,股票,上櫃,電腦及週邊設備業,濱川(1569)
1570,力肯,股票,上櫃,電機機械,力肯(1570)
1580,新麥,股票,上櫃,電機機械,新麥(1580)
